lng,lat,"	popup",Index1,Index2,Index3
116.405289,39.904987,Beijing,0.32 ,1.08 ,-0.36 
125.324501,43.886841,Changchun,4.14 ,-0.01 ,-3.94 
112.982277,28.19409,Changsha,0.79 ,-0.33 ,-0.97 
104.065735,30.659462,Chengdu,1.10 ,-0.40 ,-0.08 
106.504959,29.533155,Chongqing,0.36 ,-0.30 ,-0.29 
119.306236,26.075302,Fuzhou,0.44 ,-0.39 ,-0.51 
113.28064,23.125177,Guangzhou,0.76 ,-0.17 ,-1.24 
106.713478,26.578342,Guiyang,-0.22 ,-0.32 ,0.05 
110.19989,20.04422,Haikou,0.26 ,-0.06 ,-0.32 
120.15358,30.287458,Hangzhou,1.24 ,-0.65 ,-0.93 
126.642464,45.756966,Harbin,5.34 ,0.85 ,-2.77 
117.283043,31.861191,Hefei,1.53 ,-0.51 ,-0.59 
111.75199,40.84149,Hohhot,5.83 ,1.50 ,0.10 
117.000923,36.675808,Jinan,3.52 ,-0.23 ,-0.17 
102.71225,25.040609,Kunming,-0.17 ,-0.93 ,0.02 
103.83417,36.06138,Lanzhou,1.27 ,0.11 ,0.13 
91.1145,29.64415,Lhasa,0.74 ,-0.07 ,-0.28 
115.892151,28.676493,Nanchang,0.92 ,-0.60 ,-1.39 
118.76741,32.041546,Nanjing,1.70 ,-0.63 ,-0.54 
108.320007,22.82402,Nanning,0.12 ,0.35 ,-0.80 
121.472641,31.231707,Shanghai,1.19 ,-0.06 ,-0.87 
123.429092,41.796768,Shenyang,3.64 ,0.36 ,-1.81 
114.502464,38.045475,Shijiazhuang,4.75 ,0.84 ,0.38 
112.549248,37.857014,Taiyuan,2.42 ,1.07 ,-0.29 
117.190186,39.125595,Tianjin,2.77 ,0.33 ,-0.50 
87.61688,43.82663,Urumqi,2.26 ,2.27 ,-0.07 
114.298569,30.584354,Wuhan,1.27 ,-0.22 ,-0.50 
108.948021,34.263161,Xi'an,2.73 ,0.59 ,-0.03 
101.77782,36.61729,Xining,1.44 ,-0.05 ,0.15 
106.23248,38.48644,Yinchuan,2.91 ,0.77 ,-0.10 
113.665413,34.757977,Zhengzhou,3.50 ,-0.25 ,-0.27 
